"","Distinction","Fail","Pass","Withdrawn"
"highest_educationHE Qualification",25.94,29.34,5.65,27.37
"highest_educationLower Than A Level",30.14,31.27,37.39,48.56
"highest_educationNo Formal quals",11.84,24.36,21.59,39.36
"highest_educationPost Graduate Qualification",36.91,19.56,0,22.1
"imd_band0-10%",23.9,31.86,25.27,30.1
"imd_band10-20",15.36,28.69,6.84,30.47
"imd_band20-30%",16.41,20.9,7.11,30.75
"imd_band30-40%",19.82,20.02,12.95,20.13
"imd_band40-50%",18.79,18.17,6.34,28.13
"imd_band50-60%",17.96,22.57,23.43,9.01
"imd_band60-70%",22.27,19.76,26.09,11.3
"imd_band70-80%",21.08,20.3,33.13,13.41
"imd_band80-90%",19.43,19.61,21.36,13.97
"imd_band90-100%",20.91,22.95,25.07,19.23
"studied_credits",15.67,28.13,84.06,100
"age_band35-55",23.53,16.56,18.87,27.36
"age_band55<=",23.39,11.37,1.33,21.68
